iter	Passed	Remaining
669	5092	2508
670	5097	2499
671	5104	2491
672	5109	2482
673	5117	2475
674	5123	2466
675	5128	2458
676	5136	2450
677	5144	2443
678	5152	2435
679	5161	2428
680	5183	2428
681	5197	2423
682	5201	2414
683	5208	2406
684	5214	2397
685	5223	2390
686	5230	2383
687	5237	2375
688	5244	2367
689	5253	2360
690	5261	2352
691	5267	2344
692	5275	2337
693	5280	2328
694	5286	2319
695	5293	2311
696	5298	2303
697	5302	2294
698	5309	2286
699	5318	2279
700	5326	2271
701	5333	2263
702	5340	2256
703	5347	2248
704	5351	2239
705	5359	2231
706	5368	2224
707	5376	2217
708	5383	2209
709	5389	2201
710	5395	2193
711	5400	2184
712	5406	2176
713	5413	2168
714	5420	2160
715	5430	2153
716	5435	2145
717	5441	2137
718	5447	2128
719	5452	2120
720	5458	2112
721	5466	2104
722	5471	2096
723	5477	2088
724	5484	2080
725	5491	2072
726	5495	2063
727	5501	2055
728	5507	2047
729	5516	2040
730	5522	2032
731	5534	2026
732	5546	2020
733	5558	2014
734	5567	2007
735	5573	1999
736	5580	1991
737	5585	1983
738	5590	1974
739	5596	1966
740	5602	1958
741	5608	1949
742	5614	1941
743	5620	1933
744	5630	1927
745	5647	1922
746	5661	1917
747	5668	1909
748	5673	1901
749	5680	1893
750	5686	1885
751	5693	1877
752	5698	1869
753	5704	1861
754	5713	1853
755	5720	1846
756	5726	1838
757	5735	1831
758	5743	1823
759	5751	1816
760	5761	1809
761	5774	1803
762	5784	1796
763	5790	1788
764	5802	1782
765	5808	1774
766	5814	1766
767	5821	1758
768	5829	1751
769	5836	1743
770	5841	1735
771	5846	1726
772	5852	1718
773	5857	1710
774	5862	1702
775	5869	1694
776	5874	1686
777	5880	1677
778	5884	1669
779	5889	1661
780	5895	1653
781	5901	1645
782	5906	1637
783	5911	1628
784	5917	1620
785	5924	1612
786	5929	1604
787	5936	1597
788	5942	1589
789	5950	1581
790	5955	1573
791	5960	1565
792	5965	1557
793	5971	1549
794	5977	1541
795	5982	1533
796	5989	1525
797	5997	1518
798	6006	1510
799	6014	1503
800	6022	1496
801	6027	1488
802	6033	1480
803	6038	1472
804	6044	1464
805	6048	1455
806	6056	1448
807	6066	1441
808	6072	1433
809	6077	1425
810	6086	1418
811	6091	1410
812	6099	1402
813	6107	1395
814	6113	1387
815	6121	1380
816	6127	1372
817	6132	1364
818	6138	1356
819	6145	1349
820	6151	1341
821	6160	1333
822	6163	1325
823	6171	1318
824	6178	1310
825	6186	1303
826	6192	1295
827	6196	1287
828	6203	1279
829	6208	1271
830	6215	1263
831	6221	1256
832	6230	1249
833	6236	1241
834	6241	1233
835	6247	1225
836	6254	1218
837	6263	1210
838	6273	1203
839	6285	1197
840	6296	1190
841	6312	1184
842	6321	1177
843	6328	1169
844	6338	1162
845	6346	1155
846	6355	1148
847	6368	1141
848	6372	1133
849	6378	1125
850	6383	1117
851	6389	1109
852	6394	1101
853	6400	1094
854	6409	1086
855	6415	1079
856	6419	1071
857	6426	1063
858	6433	1056
859	6440	1048
860	6445	1040
861	6451	1032
862	6458	1025
863	6465	1017
864	6471	1010
865	6480	1002
866	6488	995
867	6496	987
868	6505	980
869	6509	972
870	6520	965
871	6525	957
872	6532	950
873	6539	942
874	6547	935
875	6553	927
876	6559	920
877	6564	912
878	6569	904
879	6573	896
880	6577	888
881	6580	880
882	6586	872
883	6591	865
884	6594	856
885	6599	849
886	6603	841
887	6607	833
888	6610	825
889	6616	817
890	6621	809
891	6626	802
892	6631	794
893	6635	786
894	6641	779
895	6649	771
896	6656	764
897	6663	756
898	6667	749
899	6672	741
900	6676	733
901	6681	725
902	6687	718
903	6691	710
904	6698	703
905	6797	705
906	6882	705
907	6903	699
908	6910	691
909	6916	684
910	6920	676
911	6925	668
912	6930	660
913	6934	652
914	6938	644
915	6943	636
916	6949	629
917	6954	621
918	6960	613
919	6965	605
920	6970	597
921	6974	590
922	6979	582
923	6984	574
924	6991	566
925	6996	559
926	7001	551
927	7006	543
928	7012	535
929	7018	528
930	7024	520
931	7030	512
932	7034	505
933	7042	497
934	7047	489
935	7053	482
936	7060	474
937	7065	466
938	7070	459
939	7077	451
940	7083	444
941	7091	436
942	7097	429
943	7104	421
944	7110	413
945	7116	406
946	7120	398
947	7129	391
948	7135	383
949	7140	375
950	7148	368
951	7156	360
952	7161	353
953	7167	345
954	7174	338
955	7181	330
956	7186	322
957	7192	315
958	7197	307
959	7203	300
960	7209	292
961	7214	284
962	7220	277
963	7227	269
964	7233	262
965	7239	254
966	7246	247
967	7253	239
968	7258	232
969	7264	224
970	7276	217
971	7282	209
972	7288	202
973	7293	194
974	7299	187
975	7305	179
976	7313	172
977	7319	164
978	7325	157
979	7330	149
980	7335	142
981	7340	134
982	7346	127
983	7351	119
984	7356	112
985	7361	104
986	7367	97
987	7372	89
988	7378	82
989	7383	74
990	7389	67
991	7395	59
992	7401	52
993	7405	44
994	7411	37
995	7416	29
996	7421	22
997	7428	14
998	7434	7
999	7439	0
